Grant.Status,Sponsor.Code,Grant.Category.Code,Contract.Value.Band...see.note.A,Start.date,RFCD.Code.1,RFCD.Percentage.1,RFCD.Code.2,RFCD.Percentage.2,RFCD.Code.3,RFCD.Percentage.3,RFCD.Code.4,RFCD.Percentage.4,RFCD.Code.5,RFCD.Percentage.5,SEO.Code.1,SEO.Percentage.1,SEO.Code.2,SEO.Percentage.2,SEO.Code.3,SEO.Percentage.3,SEO.Code.4,SEO.Percentage.4,SEO.Code.5,SEO.Percentage.5,Person.ID.1,Role.1,Year.of.Birth.1,Country.of.Birth.1,Home.Language.1,Dept.No..1,Faculty.No..1,With.PHD.1,No..of.Years.in.Uni.at.Time.of.Grant.1,Number.of.Successful.Grant.1,Number.of.Unsuccessful.Grant.1,A..1,A.1,B.1,C.1,Person.ID.2,Role.2,Year.of.Birth.2,Country.of.Birth.2,Home.Language.2,Dept.No..2,Faculty.No..2,With.PHD.2,No..of.Years.in.Uni.at.Time.of.Grant.2,Number.of.Successful.Grant.2,Number.of.Unsuccessful.Grant.2,A..2,A.2,B.2,C.2,Person.ID.3,Role.3,Year.of.Birth.3,Country.of.Birth.3,Home.Language.3,Dept.No..3,Faculty.No..3,With.PHD.3,No..of.Years.in.Uni.at.Time.of.Grant.3,Number.of.Successful.Grant.3,Number.of.Unsuccessful.Grant.3,A..3,A.3,B.3,C.3,Person.ID.4,Role.4,Year.of.Birth.4,Country.of.Birth.4,Home.Language.4,Dept.No..4,Faculty.No..4,With.PHD.4,No..of.Years.in.Uni.at.Time.of.Grant.4,Number.of.Successful.Grant.4,Number.of.Unsuccessful.Grant.4,A..4,A.4,B.4,C.4,Person.ID.5,Role.5,Year.of.Birth.5,Country.of.Birth.5,Home.Language.5,Dept.No..5,Faculty.No..5,With.PHD.5,No..of.Years.in.Uni.at.Time.of.Grant.5,Number.of.Successful.Grant.5,Number.of.Unsuccessful.Grant.5,A..5,A.5,B.5,C.5,Person.ID.6,Role.6,Year.of.Birth.6,Country.of.Birth.6,Home.Language.6,Dept.No..6,Faculty.No..6,With.PHD.6,No..of.Years.in.Uni.at.Time.of.Grant.6,Number.of.Successful.Grant.6,Number.of.Unsuccessful.Grant.6,A..6,A.6,B.6,C.6,Person.ID.7,Role.7,Year.of.Birth.7,Country.of.Birth.7,Home.Language.7,Dept.No..7,Faculty.No..7,With.PHD.7,No..of.Years.in.Uni.at.Time.of.Grant.7,Number.of.Successful.Grant.7,Number.of.Unsuccessful.Grant.7,A..7,A.7,B.7,C.7,Person.ID.8,Role.8,Year.of.Birth.8,Country.of.Birth.8,Home.Language.8,Dept.No..8,Faculty.No..8,With.PHD.8,No..of.Years.in.Uni.at.Time.of.Grant.8,Number.of.Successful.Grant.8,Number.of.Unsuccessful.Grant.8,A..8,A.8,B.8,C.8,Person.ID.9,Role.9,Year.of.Birth.9,Country.of.Birth.9,Home.Language.9,Dept.No..9,Faculty.No..9,With.PHD.9,No..of.Years.in.Uni.at.Time.of.Grant.9,Number.of.Successful.Grant.9,Number.of.Unsuccessful.Grant.9,A..9,A.9,B.9,C.9,Person.ID.10,Role.10,Year.of.Birth.10,Country.of.Birth.10,Home.Language.10,Dept.No..10,Faculty.No..10,With.PHD.10,No..of.Years.in.Uni.at.Time.of.Grant.10,Number.of.Successful.Grant.10,Number.of.Unsuccessful.Grant.10,A..10,A.10,B.10,C.10,Person.ID.11,Role.11,Year.of.Birth.11,Country.of.Birth.11,Home.Language.11,Dept.No..11,Faculty.No..11,With.PHD.11,No..of.Years.in.Uni.at.Time.of.Grant.11,Number.of.Successful.Grant.11,Number.of.Unsuccessful.Grant.11,A..11,A.11,B.11,C.11,Person.ID.12,Role.12,Year.of.Birth.12,Country.of.Birth.12,Home.Language.12,Dept.No..12,Faculty.No..12,With.PHD.12,No..of.Years.in.Uni.at.Time.of.Grant.12,Number.of.Successful.Grant.12,Number.of.Unsuccessful.Grant.12,A..12,A.12,B.12,C.12,Person.ID.13,Role.13,Year.of.Birth.13,Country.of.Birth.13,Home.Language.13,Dept.No..13,Faculty.No..13,With.PHD.13,No..of.Years.in.Uni.at.Time.of.Grant.13,Number.of.Successful.Grant.13,Number.of.Unsuccessful.Grant.13,A..13,A.13,B.13,C.13,Person.ID.14,Role.14,Year.of.Birth.14,Country.of.Birth.14,Home.Language.14,Dept.No..14,Faculty.No..14,With.PHD.14,No..of.Years.in.Uni.at.Time.of.Grant.14,Number.of.Successful.Grant.14,Number.of.Unsuccessful.Grant.14,A..14,A.14,B.14,C.14,Person.ID.15,Role.15,Year.of.Birth.15,Country.of.Birth.15,Home.Language.15,Dept.No..15,Faculty.No..15,With.PHD.15,No..of.Years.in.Uni.at.Time.of.Grant.15,Number.of.Successful.Grant.15,Number.of.Unsuccessful.Grant.15,A..15,A.15,B.15,C.15,Unnamed: 251
0,2B,10A,,10/08/07,310103.0,40.0,370102.0,30.0,370402.0,30.0,0.0,0.0,0.0,0.0,750301.0,40.0,750803.0,30.0,750202.0,30.0,0.0,0.0,0.0,0.0,7662.0,CHIEF_INVESTIGATOR,1960.0,Australia,,3508.0,4.0,Yes ,>10 to 15,2.0,2.0,0.0,3.0,0.0,1.0,24697.0,CHIEF_INVESTIGATOR,1975.0,,,,,,,0.0,0.0,2.0,3.0,1.0,0.0,65842.0,CHIEF_INVESTIGATOR,1950.0,Australia,,3508.0,4.0,Yes ,more than 15,1.0,0.0,4.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,22/06/06,999999.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999999.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584022.0,CHIEF_INVESTIGATOR,1955.0,Australia,,998.0,1.0,Yes ,>=0 to 5,0.0,0.0,0.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21A,50A,A ,9/11/07,320305.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730211.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35602.0,CHIEF_INVESTIGATOR,1965.0,Australia,,2653.0,25.0,Yes ,>5 to 10,4.0,3.0,16.0,10.0,7.0,8.0,120047.0,CHIEF_INVESTIGATOR,1960.0,Australia,,2713.0,25.0,,>=0 to 5,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4D,10A,,19/11/05,,,,,,,,,,,,,,,,,,,,,25272.0,CHIEF_INVESTIGATOR,1960.0,Great Britain,,2923.0,25.0,,Less than 0,1.0,2.0,0.0,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2B,10A,,19/11/05,240201.0,50.0,240302.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,780102.0,80.0,700199.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2B,10A,,10/08/07,410302.0,50.0,430112.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,740301.0,50.0,750201.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,77877.0,CHIEF_INVESTIGATOR,1970.0,Australia,,528.0,7.0,Yes ,>5 to 10,0.0,2.0,0.0,0.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21A,50A,A ,19/09/06,321021.0,60.0,320702.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,730211.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578662.0,CHIEF_INVESTIGATOR,1980.0,Australia,,2768.0,25.0,Yes ,>=0 to 5,1.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,42B,20A,A ,1/10/07,321105.0,35.0,321204.0,35.0,321205.0,20.0,321404.0,10.0,0.0,0.0,730211.0,30.0,730215.0,10.0,730219.0,30.0,730302.0,30.0,0.0,0.0,574367.0,CHIEF_INVESTIGATOR,1960.0,Great Britain,,2568.0,25.0,Yes ,>=0 to 5,0.0,4.0,0.0,1.0,0.0,2.0,836667.0,CHIEF_INVESTIGATOR,1975.0,,,2568.0,25.0,,,0.0,3.0,0.0,0.0,0.0,0.0,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,C ,15/01/06,280204.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610104.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139852.0,CHIEF_INVESTIGATOR,1965.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,39562.0,CHIEF_INVESTIGATOR,1945.0,Great Britain,,2153.0,19.0,Yes ,>=0 to 5,1.0,0.0,0.0,0.0,0.0,0.0,112337.0,DELEGATED_RESEARCHER,1945.0,Australia,,2153.0,19.0,,>=0 to 5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4D,10A,,7/10/08,321015.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730108.0,50.0,0.0,0.0,730305.0,50.0,0.0,0.0,0.0,0.0,14532.0,CHIEF_INVESTIGATOR,1970.0,Australia,,2773.0,25.0,,>10 to 15,0.0,3.0,0.0,6.0,8.0,12.0,70132.0,CHIEF_INVESTIGATOR,1960.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2B,10A,,19/11/05,350212.0,40.0,350211.0,30.0,350204.0,30.0,0.0,0.0,0.0,0.0,720302.0,40.0,720403.0,30.0,720401.0,30.0,0.0,0.0,0.0,0.0,23042.0,CHIEF_INVESTIGATOR,1965.0,South Africa,,1623.0,13.0,Yes ,>5 to 10,0.0,1.0,3.0,2.0,3.0,0.0,64207.0,CHIEF_INVESTIGATOR,1955.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4D,10A,,19/11/08,321013.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730104.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,884667.0,CHIEF_INVESTIGATOR,1980.0,,,2653.0,25.0,,,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
